commodity_name,commodity_code,commodity_weight,date_code,wpi_index,date
(A).  FOOD ARTICLES,1101000000,15.25585,INDX042012,106.2,2012-04-01
(A). COAL,1201000000,2.13813,INDX042012,100.9,2012-04-01
(A). MANUFACTURE OF FOOD PRODUCTS,1301000000,9.12173,INDX042012,105.5,2012-04-01
(B).  NON-FOOD ARTICLES,1102000000,4.11894,INDX042012,107.6,2012-04-01
(B). MANUFACTURE OF BEVERAGES,1302000000,0.90907,INDX042012,101.9,2012-04-01
(B). MINERAL OILS,1202000000,7.94968,INDX042012,111.2,2012-04-01
(C).  MINERALS,1103000000,0.83317,INDX042012,103.3,2012-04-01
(C). ELECTRICITY,1203000000,3.06409,INDX042012,97.4,2012-04-01
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,INDX042012,106.1,2012-04-01
(D). CRUDE PETROLEUM & NATURAL GAS,1104000000,2.4096,INDX042012,113.2,2012-04-01
(D). MANUFACTURE OF TEXTILES,1304000000,4.88068,INDX042012,100.8,2012-04-01
(E). MANUFACTURE OF WEARING APPAREL,1305000000,0.81414,INDX042012,111.2,2012-04-01
(F). MANUFACTURE OF LEATHER AND RELATED PRODUCTS,1306000000,0.5354,INDX042012,105.0,2012-04-01
(G). MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK,1307000000,0.77181,INDX042012,107.0,2012-04-01
(H). MANUFACTURE OF PAPER AND PAPER PRODUCTS,1308000000,1.11322,INDX042012,102.1,2012-04-01
(I). PRINTING AND REPRODUCTION OF RECORDED MEDIA,1309000000,0.67622,INDX042012,108.0,2012-04-01
(J). MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,1310000000,6.46505,INDX042012,105.6,2012-04-01
"(K). MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",1311000000,1.99345,INDX042012,101.0,2012-04-01
(L). MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS,1312000000,2.29851,INDX042012,102.7,2012-04-01
(M). MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,1313000000,3.20176,INDX042012,107.4,2012-04-01
(N). MANUFACTURE OF BASIC METALS,1314000000,9.64632,INDX042012,105.9,2012-04-01
"(O). MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND EQUIPMENT",1315000000,3.15498,INDX042012,103.1,2012-04-01
"(P). MANUFACTURE OF COMPUTER, ELECTRONIC AND OPTICAL PRODUCTS",1316000000,2.00875,INDX042012,99.7,2012-04-01
(Q). MANUFACTURE OF ELECTRICAL EQUIPMENT,1317000000,2.9297,INDX042012,104.1,2012-04-01
(R). MANUFACTURE OF MACHINERY AND EQUIPMENT,1318000000,4.78899,INDX042012,102.2,2012-04-01
"(S). MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",1319000000,4.96853,INDX042012,98.4,2012-04-01
(T). MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,1320000000,1.64777,INDX042012,98.8,2012-04-01
(U). MANUFACTURE OF FURNITURE,1321000000,0.72672,INDX042012,103.9,2012-04-01
(V). OTHER MANUFACTURING,1322000000,1.06417,INDX042012,92.9,2012-04-01
2/3 wheeler Tyre,1312010003,0.0403,INDX042012,101.7,2012-04-01
2/3 wheeler rubber tube,1312010009,0.01601,INDX042012,102.7,2012-04-01
A C Motor,1317010005,0.02218,INDX042012,101.5,2012-04-01
ACSR Conductors,1317040004,0.04741,INDX042012,100.3,2012-04-01
API & formulations of vitamins,1311010007,0.70266,INDX042012,103.3,2012-04-01
ATF,1202000004,0.31991,INDX042012,113.7,2012-04-01
Acetic acid and Its Derivatives,1310010004,0.02452,INDX042012,102.8,2012-04-01
Acrylic fibre,1310080002,0.04353,INDX042012,103.9,2012-04-01
Acrylic/plastic sheet,1312030015,0.01563,INDX042012,106.1,2012-04-01
Additive,1310070009,0.08986,INDX042012,103.2,2012-04-01
Adhesive excluding gum,1310070004,0.12705,INDX042012,105.3,2012-04-01
Adhesive tape (non-medicinal),1310070005,0.02592,INDX042012,98.9,2012-04-01
Aerated drinks/soft drinks (incl. soft drink concentrates),1302030001,0.25793,INDX042012,102.0,2012-04-01
Agarbatti,1310060005,0.02364,INDX042012,101.4,2012-04-01
Agricultural tractors,1318090001,0.52772,INDX042012,103.9,2012-04-01
Agriculture implements,1318090003,0.26218,INDX042012,101.5,2012-04-01
Agro chemical formulation,1310040002,0.06434,INDX042012,106.0,2012-04-01
Air Coolers,1317060003,0.00697,INDX042012,100.4,2012-04-01
Air conditioner,1316040002,0.20393,INDX042012,100.8,2012-04-01
Air conditioning plant,1318080003,0.00015,INDX042012,100.7,2012-04-01
Air filters,1318080002,0.25613,INDX042012,108.8,2012-04-01
Air gas compressor including compressor for refrigerator,1318030004,0.05445,INDX042012,104.0,2012-04-01
Air or vacuum pump,1318030003,0.17456,INDX042012,102.6,2012-04-01
Alcohols,1310010022,0.12767,INDX042012,100.4,2012-04-01
Alkyl Benzene,1310010011,0.07318,INDX042012,103.8,2012-04-01
All commodities,1000000000,100.0,INDX042012,104.7,2012-04-01
Alloy steel Wire rods,1314060001,0.06671,INDX042012,115.9,2012-04-01
Alloy steel castings,1314100003,0.02077,INDX042012,105.5,2012-04-01
Almonds,1101020219,0.02469,INDX042012,91.8,2012-04-01
Aluminium Disk and Circles,1314090008,0.03952,INDX042012,91.9,2012-04-01
Aluminium alloys,1314090007,0.06796,INDX042012,101.1,2012-04-01
Aluminium castings,1314100004,0.06169,INDX042012,102.6,2012-04-01
Aluminium ingot,1314090012,0.4026,INDX042012,102.0,2012-04-01
Aluminium metal,1314090003,0.00188,INDX042012,102.7,2012-04-01
Aluminium powder,1314090004,0.09148,INDX042012,102.4,2012-04-01
Aluminium shapes - bars/rods/flats,1314090010,0.21326,INDX042012,102.0,2012-04-01
Aluminium utensils,1315060004,0.02264,INDX042012,106.3,2012-04-01
Aluminium wire,1317040006,0.01353,INDX042012,101.7,2012-04-01
Aluminium/Alloy Conductor,1317040005,0.02667,INDX042012,98.5,2012-04-01
Alumnium Foil,1314090009,0.07863,INDX042012,102.1,2012-04-01
Amine,1310010016,0.05566,INDX042012,106.8,2012-04-01
Amla,1101020216,0.01837,INDX042012,100.0,2012-04-01
Ammonia gas,1310020007,0.04383,INDX042012,107.7,2012-04-01
Ammonia liquid,1310020008,0.02116,INDX042012,110.8,2012-04-01
Ammonium nitrate,1310010025,0.01281,INDX042012,101.3,2012-04-01
Ammonium phosphate,1310020006,0.04093,INDX042012,120.7,2012-04-01
Ammonium sulphate,1310020003,0.0342,INDX042012,104.0,2012-04-01
Amplifier,1317010009,0.0011,INDX042012,104.2,2012-04-01
"Angles, Channels, Sections, steel (coated/not)",1314040004,0.01267,INDX042012,112.7,2012-04-01
"Aniline (including pna, ona, ocpna)",1310010017,0.03068,INDX042012,109.1,2012-04-01
Anti allergic drugs,1311010015,0.00959,INDX042012,112.8,2012-04-01
Anti cancer drugs,1311010002,0.08012,INDX042012,88.4,2012-04-01
Anti inflammatory preparation,1311010001,0.00306,INDX042012,100.3,2012-04-01
Anti-malarial drugs,1311010021,0.06041,INDX042012,103.4,2012-04-01
Anti-retroviral drugs for HIV treatment,1311010005,0.01316,INDX042012,97.6,2012-04-01
Antibiotics & preparations thereof,1311010013,0.23061,INDX042012,103.4,2012-04-01
Antidiabetic drug excluding insulin (i.e. tolbutam),1311010006,0.11682,INDX042012,81.8,2012-04-01
Antioxidants,1311010016,0.02243,INDX042012,103.1,2012-04-01
"Antipyretic, analgesic, anti-inflammatory formulations",1311010003,0.00358,INDX042012,97.1,2012-04-01
Antiseptics and disinfectants,1311010017,0.0146,INDX042012,100.6,2012-04-01
Apple,1101020203,0.07505,INDX042012,107.1,2012-04-01
Arhar,1101010202,0.12914,INDX042012,97.1,2012-04-01
Aromatic chemicals,1310010005,0.03278,INDX042012,102.6,2012-04-01
Asbestos corrugated sheet,1313060001,0.12181,INDX042012,110.4,2012-04-01
Athletic/sport shoes,1306030002,0.01651,INDX042012,99.8,2012-04-01
Auto rickshaw/Tempo/Matador/Three wheelers,1320030003,0.01273,INDX042012,105.7,2012-04-01
Auxiliary plant for use with boilers,1315030002,0.02212,INDX042012,100.7,2012-04-01
Axles of motor vehicles,1319020005,0.12553,INDX042012,104.2,2012-04-01
Ayurvedic medicaments,1311010009,0.06506,INDX042012,104.8,2012-04-01
"Babies garments, knitted",1305020003,0.08874,INDX042012,101.4,2012-04-01
Bagasse,1301090003,0.0276,INDX042012,102.8,2012-04-01
Bajra,1101010104,0.08637,INDX042012,107.7,2012-04-01
Banana,1101020201,0.32937,INDX042012,101.2,2012-04-01
Barley,1101010106,0.01437,INDX042012,117.1,2012-04-01
Base paper,1308010004,0.01093,INDX042012,102.8,2012-04-01
Basmati rice,1301060008,0.4264,INDX042012,105.3,2012-04-01
Batteries,1317020004,0.19028,INDX042012,100.4,2012-04-01
Bauxite,1103010001,0.00842,INDX042012,103.7,2012-04-01
Beans,1101020118,0.08309,INDX042012,140.4,2012-04-01
Bed linen/Bed Spread,1304040001,0.05655,INDX042012,102.0,2012-04-01
Beef and Buffalo Meat,1101040005,0.16159,INDX042012,103.5,2012-04-01
Beer,1302020001,0.16276,INDX042012,102.2,2012-04-01
Belt & Other Articles of Leather,1306020002,0.01909,INDX042012,97.5,2012-04-01
Betel Leaves,1101060003,0.14419,INDX042012,77.7,2012-04-01
Betelnut/Arecanut,1101050006,0.08487,INDX042012,104.7,2012-04-01
Bicycles of all types,1320040001,0.117,INDX042012,104.7,2012-04-01
Biri,1303010002,0.11183,INDX042012,109.7,2012-04-01
"Biscuit, cookies",1301080001,0.15875,INDX042012,102.8,2012-04-01
Bitter gourd,1101020116,0.02261,INDX042012,137.2,2012-04-01
Bitumen,1202000007,0.22677,INDX042012,102.0,2012-04-01
Black Pepper,1101050001,0.02098,INDX042012,120.8,2012-04-01
Blankets,1304040002,0.00895,INDX042012,101.3,2012-04-01
Body (for commercial motor vehicles),1319010005,0.08918,INDX042012,104.3,2012-04-01
Boilers,1315030001,0.1225,INDX042012,105.9,2012-04-01
"Bolts, screws, nuts & nails of Iron & steel",1315060001,0.18662,INDX042012,108.1,2012-04-01
Bottle gourd,1101020117,0.02323,INDX042012,137.8,2012-04-01
Bottled Mineral water,1302030002,0.01755,INDX042012,101.7,2012-04-01
Bracket,1315010006,0.00358,INDX042012,103.1,2012-04-01
"Brake pad/brake liner/brake block/Brake rubber, others",1319020010,0.10145,INDX042012,96.4,2012-04-01
Brass metal/sheet/coils,1314090011,0.01026,INDX042012,101.1,2012-04-01
"Bread, buns & croissant",1301080002,0.035,INDX042012,104.0,2012-04-01
Brinjal,1101020109,0.24125,INDX042012,122.4,2012-04-01
Bristle paper board,1308010011,0.03288,INDX042012,105.3,2012-04-01
"Buffalo meat, fresh/frozen",1301010001,0.07438,INDX042012,101.7,2012-04-01
Butter,1301050003,0.52138,INDX042012,100.4,2012-04-01
Cabbage,1101020111,0.12251,INDX042012,182.0,2012-04-01
"Cakes, pastries & muffins",1301080003,0.02084,INDX042012,103.0,2012-04-01
Camphor,1310010015,0.00751,INDX042012,89.1,2012-04-01
Canvas shoes,1306030003,0.01281,INDX042012,104.6,2012-04-01
Capacitors,1316010001,0.20041,INDX042012,103.2,2012-04-01
Carbon Black,1310010008,0.10555,INDX042012,108.1,2012-04-01
Card board,1308010007,0.031,INDX042012,97.1,2012-04-01
Card board box,1308020003,0.02722,INDX042012,108.5,2012-04-01
Cardamom,1101050004,0.01434,INDX042012,118.5,2012-04-01
"Cardigans and pullovers, knitted",1305020001,0.03253,INDX042012,95.4,2012-04-01
Carpets and other floor coverings of textiles,1304060002,0.12792,INDX042012,103.4,2012-04-01
Carrom board,1322040002,0.00045,INDX042012,107.4,2012-04-01
Carrot,1101020112,0.01874,INDX042012,133.0,2012-04-01
Cashew nut,1101020205,0.06583,INDX042012,90.3,2012-04-01
"Cast iron, castings",1314100001,0.0555,INDX042012,104.7,2012-04-01
Castor Oil,1301040006,0.02955,INDX042012,91.8,2012-04-01
Castor Seed,1102020007,0.09763,INDX042012,81.9,2012-04-01
Catalysts,1310010026,0.01697,INDX042012,104.8,2012-04-01
Cauliflower,1101020108,0.16697,INDX042012,119.1,2012-04-01
Caustic soda (sodium hydroxide),1310010006,0.08237,INDX042012,117.0,2012-04-01
Cement blocks (concrete),1313060004,0.04345,INDX042012,103.1,2012-04-01
Cement superfine,1313050007,0.07761,INDX042012,112.0,2012-04-01
Centrifugal Pumps,1318030001,0.02796,INDX042012,103.9,2012-04-01
Ceramic tiles (Vitrified tiles),1313020002,0.17903,INDX042012,104.1,2012-04-01
Chain,1319020015,0.0219,INDX042012,103.6,2012-04-01
Chassis of different vehicle types,1319010004,0.15893,INDX042012,102.5,2012-04-01
Chemical equipment & system,1318140003,0.00731,INDX042012,104.0,2012-04-01
"Chicken/duck, dressed - fresh/frozen",1301010004,0.0109,INDX042012,102.2,2012-04-01
Chillers,1318080001,0.00436,INDX042012,84.8,2012-04-01
Chillies (Dry),1101050002,0.14056,INDX042012,85.0,2012-04-01
Chocolate & cocoa powder,1301100001,0.09685,INDX042012,100.9,2012-04-01
Chrome Tanned Leather,1306010002,0.14213,INDX042012,109.4,2012-04-01
Chromite,1103010002,0.02645,INDX042012,93.9,2012-04-01
Cigarette,1303010001,0.16619,INDX042012,106.8,2012-04-01
Clinker,1313050002,0.31582,INDX042012,112.0,2012-04-01
Clock,1316060003,0.00513,INDX042012,106.8,2012-04-01
Clutches and shaft couplings,1318040003,0.01187,INDX042012,103.8,2012-04-01
Coconut (Fresh),1101020206,0.07873,INDX042012,95.2,2012-04-01
Coffee,1101060002,0.09879,INDX042012,92.6,2012-04-01
Coffee powder with chicory,1301120003,0.00616,INDX042012,104.3,2012-04-01
Coir Fibre,1102010006,0.01555,INDX042012,96.9,2012-04-01
Coking Coal,1201010001,0.64703,INDX042012,100.0,2012-04-01
"Cold Rolled (CR) Coils & Sheets, including Narrow Strip",1314050002,0.09307,INDX042012,103.4,2012-04-01
Colour TV,1316040001,0.43702,INDX042012,97.5,2012-04-01
Computer peripherals,1316020003,0.03574,INDX042012,100.5,2012-04-01
Concrete vibrator & mixture,1318110007,0.01692,INDX042012,100.4,2012-04-01
Condensed Milk,1301050001,0.02154,INDX042012,108.2,2012-04-01
Condoms,1312020007,0.0131,INDX042012,104.9,2012-04-01
Connector/plug/socket/holder-electric,1317040010,0.04832,INDX042012,102.4,2012-04-01
Conveyer belt (fibre based),1312020005,0.04791,INDX042012,105.4,2012-04-01
Conveyors - non-roller type,1318080005,0.00093,INDX042012,101.7,2012-04-01
Cooling tower,1317010002,0.00949,INDX042012,106.4,2012-04-01
Copper Concentrate,1103010006,0.33393,INDX042012,100.0,2012-04-01
"Copper bolts, screws, nuts",1315050004,0.00012,INDX042012,101.1,2012-04-01
Copper metal/Copper Rings,1314090001,0.11676,INDX042012,97.7,2012-04-01
Copper shapes - bars/rods/plates/strips,1314090006,0.62858,INDX042012,102.7,2012-04-01
Copper wire,1317040007,0.07782,INDX042012,104.7,2012-04-01
Copra (Coconut),1102020004,0.0731,INDX042012,84.3,2012-04-01
Copra oil,1301040010,0.02769,INDX042012,100.0,2012-04-01
Cordage/ropes/twines of jute and coir,1304050002,0.08865,INDX042012,103.8,2012-04-01
Coriander,1101050009,0.02154,INDX042012,93.6,2012-04-01
Corn Flake,1301150001,0.18477,INDX042012,101.1,2012-04-01
Corrugated paper board,1308020002,0.01591,INDX042012,100.3,2012-04-01
Corrugated sheet box,1308020001,0.19469,INDX042012,107.7,2012-04-01
Cotton Dyed/printed textile,1304040004,0.049,INDX042012,98.7,2012-04-01
Cotton Seed,1102020003,0.01106,INDX042012,101.2,2012-04-01
Cotton Towel,1304040005,0.09734,INDX042012,103.3,2012-04-01
Cotton Yarn,1304010001,1.34192,INDX042012,100.4,2012-04-01
"Cotton cloth (dyed, printed, or otherwise finished/processed)",1304020004,0.94619,INDX042012,100.1,2012-04-01
Cotton hosiery cloth,1304030002,0.01582,INDX042012,100.2,2012-04-01
Cotton seed Oil,1301040011,0.07081,INDX042012,107.5,2012-04-01
Cotton seed oil cake,1301160004,0.06115,INDX042012,104.3,2012-04-01
Cotton wool (medicinal),1311010018,0.00652,INDX042012,99.7,2012-04-01
Cotton woven cloth,1304020001,0.00942,INDX042012,97.1,2012-04-01
Country liquor,1302020002,0.0625,INDX042012,101.6,2012-04-01
Cranes,1318060001,0.0762,INDX042012,108.3,2012-04-01
Crankshaft,1319020008,0.02807,INDX042012,95.3,2012-04-01
Creams & Lotions for External Application,1310060007,0.02734,INDX042012,98.8,2012-04-01
Cricket Bat,1322030003,0.00206,INDX042012,109.3,2012-04-01
Cricket ball,1322030002,0.00023,INDX042012,107.9,2012-04-01
Crude Petroleum,1104000001,1.94537,INDX042012,114.4,2012-04-01
Cucumber,1101020114,0.00906,INDX042012,134.7,2012-04-01
Cumin,1101050007,0.06256,INDX042012,99.3,2012-04-01
Curtains,1304040007,0.01942,INDX042012,105.6,2012-04-01
Cycle/Cycle rickshaw tyre,1312010011,0.02371,INDX042012,104.1,2012-04-01
Cylinder liners,1319020014,0.08823,INDX042012,107.1,2012-04-01
Cylinders,1315020001,0.56456,INDX042012,101.8,2012-04-01
Deep freezers,1318080007,0.01599,INDX042012,104.0,2012-04-01
"Detergent cake, washing soap cake/bar/powder",1310060002,0.30512,INDX042012,107.0,2012-04-01
Di ammonium phosphate,1310020002,0.07425,INDX042012,115.5,2012-04-01
Diesel/Electric locomotive,1320020003,0.01891,INDX042012,87.1,2012-04-01
Digestive enzymes and antacids,1311010011,0.03613,INDX042012,102.4,2012-04-01
Domestic gas stove,1317060006,0.00949,INDX042012,100.4,2012-04-01
Drilling Machine,1318100001,0.06894,INDX042012,101.2,2012-04-01
Drumstick,1101020120,0.01823,INDX042012,59.0,2012-04-01
Dry cells such as torch light batteries,1317020001,0.04299,INDX042012,98.8,2012-04-01
Dumper,1318110002,0.06785,INDX042012,107.7,2012-04-01
Duplex paper,1308030001,0.18002,INDX042012,96.4,2012-04-01
Dye stuff/dyes incl. dye intermediates and pigments/colours,1310010003,0.22821,INDX042012,103.6,2012-04-01
EMU coaches,1320020002,0.02715,INDX042012,100.0,2012-04-01
Earth moving machinery,1318110008,0.18095,INDX042012,100.3,2012-04-01
Egg,1101040001,0.23264,INDX042012,98.1,2012-04-01
Elastic webbing,1312020006,0.00914,INDX042012,97.9,2012-04-01
Electric & other meters,1317010006,0.04345,INDX042012,100.2,2012-04-01
Electric Mixers/Grinders/Food Processors,1317060002,0.04313,INDX042012,101.5,2012-04-01
Electric Wires & Cables,1317040003,0.02157,INDX042012,102.4,2012-04-01
Electric accumulators,1317020003,0.00207,INDX042012,108.7,2012-04-01
Electric filament type lamps,1317050005,0.01471,INDX042012,104.1,2012-04-01
Electric heaters,1317060009,0.04214,INDX042012,102.9,2012-04-01
Electric insulating material,1313040002,0.20102,INDX042012,104.5,2012-04-01
Electric switch,1317050001,0.17381,INDX042012,92.2,2012-04-01
Electric switch gear control/starter,1317010007,0.02069,INDX042012,99.8,2012-04-01
Electric welding machine,1317070001,0.06077,INDX042012,102.0,2012-04-01
Electrical ballast & chokes,1317050006,0.00346,INDX042012,99.4,2012-04-01
Electrical relay/conductor,1317010010,0.1027,INDX042012,103.5,2012-04-01
Electrical resistors (except heating resistors),1317010014,0.00732,INDX042012,108.8,2012-04-01
Electrical stamping- Laminated or otherwise,1315040001,0.17896,INDX042012,99.9,2012-04-01
Electricity,1203000001,3.06409,INDX042012,97.4,2012-04-01
"Electro-diagnostic apparatus, used in medical, surgical, dental or veterinary sciences",1316070001,0.04848,INDX042012,101.8,2012-04-01
Electronic Printed Circuit Board (PCB)/micro circuit,1316010003,0.07375,INDX042012,109.1,2012-04-01
Engine,1319020001,0.83798,INDX042012,100.9,2012-04-01
"Epoxy, liquid",1310070008,0.09037,INDX042012,103.5,2012-04-01
Ethyl acetate,1310010009,0.03246,INDX042012,97.9,2012-04-01
Ethylene Oxide,1310010012,0.01294,INDX042012,107.2,2012-04-01
Evaporator,1318140006,0.08073,INDX042012,99.5,2012-04-01
Excavator,1318110001,0.06463,INDX042012,111.1,2012-04-01
Explosive,1310070011,0.08728,INDX042012,104.2,2012-04-01
"Fabric, polyethylene",1304020005,0.05304,INDX042012,107.2,2012-04-01
"Fabrics/cloth, rayon",1304020006,0.08362,INDX042012,99.0,2012-04-01
Face/Body Powder,1310060008,0.00413,INDX042012,106.7,2012-04-01
Fan,1317060005,0.0508,INDX042012,101.2,2012-04-01
Fatty acid,1310010001,0.02257,INDX042012,105.8,2012-04-01
Ferrochrome,1314010002,0.11195,INDX042012,102.8,2012-04-01
Ferromanganese,1314010003,0.02589,INDX042012,108.5,2012-04-01
Ferrosilicon,1314010004,0.02314,INDX042012,104.7,2012-04-01
Fibre Optic Cables,1317030001,0.13327,INDX042012,102.2,2012-04-01
Fibre glass incl. sheet,1313010003,0.03063,INDX042012,102.9,2012-04-01
Filter element,1319020017,0.0503,INDX042012,93.7,2012-04-01
Filtration equipment,1318080004,0.13412,INDX042012,105.2,2012-04-01
Fish frozen/canned/processed,1301020002,0.14067,INDX042012,105.8,2012-04-01
Fish-Inland,1101040002,0.525,INDX042012,102.1,2012-04-01
Fish-Marine,1101040003,0.42182,INDX042012,112.9,2012-04-01
"Fishing vessels, trawlers",1320010001,0.1134,INDX042012,100.0,2012-04-01
"Flour of cereals other than rice, wheat etc.",1301060005,0.00742,INDX042012,107.6,2012-04-01
Flourescent tube,1317050003,0.03823,INDX042012,99.6,2012-04-01
Foam and rubber mattress,1321010006,0.10674,INDX042012,107.6,2012-04-01
Fodder,1102030008,0.5314,INDX042012,107.9,2012-04-01
Football,1322030004,0.00562,INDX042012,105.4,2012-04-01
Forged Steel Rings,1315040002,0.20446,INDX042012,104.8,2012-04-01
Foundry chemical,1310070010,0.00808,INDX042012,104.3,2012-04-01
Fruit Juice including concentrates,1301030001,0.04695,INDX042012,100.5,2012-04-01
Fruit pulp,1301030002,0.03326,INDX042012,100.3,2012-04-01
"Fungicide, liquid",1310040003,0.00357,INDX042012,106.0,2012-04-01
Furnace Oil,1202000008,0.66576,INDX042012,117.6,2012-04-01
Furnaces & Ovens,1318050001,0.00837,INDX042012,114.9,2012-04-01
GP/GC sheet,1314050003,0.1126,INDX042012,104.0,2012-04-01
Galvanized iron pipes,1314080001,0.00075,INDX042012,101.3,2012-04-01
Garlic,1101050008,0.05323,INDX042012,44.4,2012-04-01
Garnet,1103020003,0.00139,INDX042012,99.6,2012-04-01
Gasket kit,1318030005,0.04124,INDX042012,97.9,2012-04-01
Gaur Seed,1102030005,0.10347,INDX042012,245.2,2012-04-01
Gear box and parts,1319020012,0.31546,INDX042012,100.5,2012-04-01
Gelatine,1310070006,0.02008,INDX042012,110.9,2012-04-01
Generator parts,1317010013,0.08079,INDX042012,99.9,2012-04-01
Generators & Alternators,1317010001,0.3902,INDX042012,104.4,2012-04-01
Geyser,1317060004,0.00269,INDX042012,104.9,2012-04-01
Ghee,1301050002,0.39349,INDX042012,105.1,2012-04-01
Gingelly Seed (Sesamum),1102020005,0.01201,INDX042012,123.7,2012-04-01
Ginger (Dry),1101050005,0.02098,INDX042012,72.4,2012-04-01
Ginger (Fresh),1101020105,0.02124,INDX042012,74.2,2012-04-01
Glass bottle,1313010004,0.1985,INDX042012,104.5,2012-04-01
Gloves of leather,1306020004,0.01002,INDX042012,102.4,2012-04-01
Gola & similar Cattle Feed,1301160001,0.21073,INDX042012,106.7,2012-04-01
Gold & gold ornaments,1322010001,0.96561,INDX042012,91.2,2012-04-01
Gram,1101010201,0.26377,INDX042012,116.1,2012-04-01
Gram powder (besan),1301060006,0.0959,INDX042012,113.2,2012-04-01
Granite,1313070001,0.15735,INDX042012,103.9,2012-04-01
Grapes,1101020208,0.04932,INDX042012,88.1,2012-04-01
Graphite rod,1313080001,0.16911,INDX042012,108.7,2012-04-01
Grinding or polishing machine,1318100002,0.02477,INDX042012,101.6,2012-04-01
Groundnut Oil,1301040005,0.05834,INDX042012,118.9,2012-04-01
Groundnut Seed,1102020001,0.26876,INDX042012,112.5,2012-04-01
Guava,1101020210,0.0456,INDX042012,77.1,2012-04-01
Gur,1301090004,0.02354,INDX042012,102.5,2012-04-01
HSD,1202000005,3.09548,INDX042012,111.9,2012-04-01
Hair oil/Body Oil,1310060009,0.0089,INDX042012,100.2,2012-04-01
Hand tools,1315060002,0.27659,INDX042012,96.1,2012-04-01
Hard board,1308010010,0.00062,INDX042012,100.5,2012-04-01
"Harness, Saddles & Other related Items",1306020003,0.00831,INDX042012,113.4,2012-04-01
Harvesters,1318090002,0.00364,INDX042012,102.3,2012-04-01
Head lamp,1319020011,0.03681,INDX042012,98.9,2012-04-01
Hides (Raw),1102030001,0.03062,INDX042012,102.8,2012-04-01
Hologram (3D),1309010006,0.00297,INDX042012,98.3,2012-04-01
Honey,1301090005,0.01122,INDX042012,103.6,2012-04-01
Hose pipes in set or otherwise,1315060007,0.09066,INDX042012,102.1,2012-04-01
"Hosiery goods, others cotton",1305020004,0.03878,INDX042012,101.5,2012-04-01
Hospital furniture,1321010005,0.00087,INDX042012,98.4,2012-04-01
"Hot Rolled (HR) Coils & Sheets, including Narrow Strip",1314050001,0.88361,INDX042012,107.3,2012-04-01
Hydraulic equipment,1318060003,0.16803,INDX042012,99.2,2012-04-01
Hydraulic pump,1318020002,0.00026,INDX042012,104.4,2012-04-01
Hydrogen peroxide,1310070007,0.03517,INDX042012,99.3,2012-04-01
I    PRIMARY ARTICLES,1100000000,22.61756,INDX042012,107.1,2012-04-01
II FUEL & POWER,1200000000,13.1519,INDX042012,106.3,2012-04-01
III   MANUFACTURED PRODUCTS,1300000000,64.23054,INDX042012,103.5,2012-04-01
IV FOOD INDEX,2000000000,,INDX042012,105.9,2012-04-01
IV fluids,1311010022,0.01785,INDX042012,111.5,2012-04-01
Ice cream,1301050004,0.06189,INDX042012,104.5,2012-04-01
Ignition device,1319020019,0.01704,INDX042012,107.8,2012-04-01
Incandescent Lamps,1317050004,0.0016,INDX042012,100.2,2012-04-01
Industrial valve,1318010002,0.61304,INDX042012,100.6,2012-04-01
Industrial wood,1102030007,0.88561,INDX042012,104.0,2012-04-01
Injection pump,1318020001,0.04418,INDX042012,104.3,2012-04-01
Insecticide and Pesticide,1310040001,0.38578,INDX042012,105.8,2012-04-01
Instant Coffee,1301120002,0.03292,INDX042012,109.1,2012-04-01
Instant Food/Prepared meals based on vegetables,1301140001,0.02428,INDX042012,104.7,2012-04-01
Insulating & flexible wire,1317040009,0.08644,INDX042012,104.1,2012-04-01
Insulator,1317070003,0.11159,INDX042012,101.1,2012-04-01
Intraocular Lens,1322050001,0.04941,INDX042012,115.0,2012-04-01
Iron Ore,1103010005,0.20862,INDX042012,100.7,2012-04-01
Iron/Steel Furniture,1321010004,0.26311,INDX042012,102.2,2012-04-01
Iron/steel cap,1315060003,0.01294,INDX042012,99.3,2012-04-01
Iron/steel hinges,1315050003,0.003,INDX042012,103.1,2012-04-01
Jackfruit,1101020217,0.02458,INDX042012,113.8,2012-04-01
"Jams, jellies, marmalades and puree",1301030003,0.02391,INDX042012,98.6,2012-04-01
Jasmine,1102040002,0.03063,INDX042012,71.4,2012-04-01
Jelly Filled Cables,1317040002,0.00366,INDX042012,94.2,2012-04-01
Jigs & Fixture,1315010004,0.00541,INDX042012,101.4,2012-04-01
Journal/periodical,1309010002,0.21333,INDX042012,105.6,2012-04-01
Jowar,1101010103,0.06764,INDX042012,98.3,2012-04-01
Jute sacking cloth/Gunny and hessian cloth,1304020007,0.31677,INDX042012,98.3,2012-04-01
Kerosene,1202000003,0.18685,INDX042012,107.0,2012-04-01
